2023-03-28/22:00:14		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:14		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:14		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:15		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:15		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:15		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:15		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:16		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:16		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:17		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:18		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:19		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:20		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:21		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:22		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:23		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:23		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:23		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:23		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:23		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:24		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:24		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:24		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:24		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:24		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:25		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:26		 wafer_21012020_080913.csv: File loaded successfully!!
2023-03-28/22:00:26		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:27		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:27		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:27		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:27		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:28		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:28		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:28		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:28		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:28		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:28		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:28		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:29		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:29		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:29		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:29		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:29		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:29		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:30		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:30		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:30		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:30		 wafer_23012020_041211.csv: File loaded successfully!!
2023-03-28/22:00:30		 wafer_23012020_041211.csv: File loaded successfully!!
